Title,Price,URL
"3/4 in. x 10 ft. PVC Schedule 40 Pressure Plain-End Pipe","$4.24(42¢/ft.)Buy10ormore$3.39","https://www.homedepot.com/p/Charlotte-Pipe-3-4-in-x-10-ft-PVC-Schedule-40-Pressure-Plain-End-Pipe-PVC-04007-0600/100348472"
"1 in. x 10 ft. Plastic Plain End Pipe","$3.88(39¢/ft.)Buy10ormore$3.10","https://www.homedepot.com/p/Charlotte-Pipe-1-in-x-10-ft-Plastic-Plain-End-Pipe-PVC200100600/100348483"
"2 in. x 10 ft. White Schedule 40 PVC Pipe Solid Core","$13.68($1.37/ft.)Buy10ormore$10.94","https://www.homedepot.com/p/Charlotte-Pipe-2-in-x-10-ft-White-Schedule-40-PVC-Pipe-Solid-Core-PVC-07200-0600/100348475"
"2 in. PVC Schedule 40 S x S Coupling","$1.85","https://www.homedepot.com/p/Charlotte-Pipe-2-in-PVC-Schedule-40-S-x-S-Coupling-PVC021001600HD/203811391"
"3 in. x 10 ft. PVC Schedule 40 DWV Pipe","$37.96($3.80/ft.)","https://www.homedepot.com/p/Charlotte-Pipe-3-in-x-10-ft-PVC-Schedule-40-DWV-Pipe-PVC073000600/100348476"
"1/2 in. x 10 ft. White PVC SCH 40 Potable Pressure Water Pipe","$3.53(35¢/ft.)Buy10ormore$2.82","https://www.homedepot.com/p/IPEX-1-2-in-x-10-ft-White-PVC-SCH-40-Potable-Pressure-Water-Pipe-30-05010HD/319692959"
"48 in. x 96 in. x 0.177 in. Clear General Purpose Polycarbonate Sheet","$214.86","https://www.homedepot.com/p/TUFFAK-48-in-x-96-in-x-0-177-in-Clear-General-Purpose-Polycarbonate-Sheet-11600101/301894184"
"11 in. x 14 in. x 0.093 in. Clear UV Stable Polycarbonate Sheet","$12.48","https://www.homedepot.com/p/LEXAN-11-in-x-14-in-x-0-093-in-Clear-UV-Stable-Polycarbonate-Sheet-GE-34/205437907"
"48 in. x 96 in. x 0.220 in. Clear General Purpose Polycarbonate Sheet","$348.00","https://www.homedepot.com/p/LEXAN-48-in-x-96-in-x-0-220-in-Clear-General-Purpose-Polycarbonate-Sheet-11284101/314514205"
"Sunlite 24 in. x 48 in. x 5/16 in. Polycarbonate Clear Twinwall Sheet","$28.88","https://www.homedepot.com/p/Palram-Sunlite-24-in-x-48-in-x-5-16-in-Polycarbonate-Clear-Twinwall-Sheet-174040/305560353"
"24 in. x 48 in. x .060 in Clear Polycarbonate Lighting Panel","$19.97/package","https://www.homedepot.com/p/TUFFLENS-24-in-x-48-in-x-060-in-Clear-Polycarbonate-Lighting-Panel-17349102/310566151"
"48 in. x 96 in. x 0.118 (1/8) in. Clear Acrylic Sheet","$156.00","https://www.homedepot.com/p/OPTIX-48-in-x-96-in-x-0-118-1-8-in-Clear-Acrylic-Sheet-MC-100S/205351353"
"8 in. x 10 in. x 0.050 (1/20) in. Clear Non-Glare Acrylic Sheet","$4.48","https://www.homedepot.com/p/OPTIX-8-in-x-10-in-x-0-050-1-20-in-Clear-Non-Glare-Acrylic-Sheet-1X09241A/300085223"
"18 in. x 24 in. x 0.093 (3/32) in. Clear Acrylic Sheet","$18.48","https://www.homedepot.com/p/OPTIX-18-in-x-24-in-x-0-093-3-32-in-Clear-Acrylic-Sheet-MC-05/202038047"
"24 in. x 48 in. x 0.093 (3/32) in. Clear Acrylic Sheet","$45.98","https://www.homedepot.com/p/OPTIX-24-in-x-48-in-x-0-093-3-32-in-Clear-Acrylic-Sheet-MC-13/202038048"
"30 in. x 36 in. x 0.093 (3/32) in. Clear Acrylic Sheet","$41.48","https://www.homedepot.com/p/OPTIX-30-in-x-36-in-x-0-093-3-32-in-Clear-Acrylic-Sheet-MC-06/202038044"
"OSB 7/16 Application as 4ft. X 8 ft. Sheathing Panel","Limit90perorder$15.48Buy68ormore$13.93","https://www.homedepot.com/p/OSB-7-16-Application-as-4ft-X-8-ft-Sheathing-Panel-386081/202106230"
"23/32 in. x 4 ft. x 8 ft. RTD Sheathing Syp","Limit90perorder$36.38Buy48ormore$32.74","https://www.homedepot.com/p/23-32-in-x-4-ft-x-8-ft-RTD-Sheathing-Syp-129323/303564747"
"19/32 in. x 4 ft. x 8 ft. Actual 0.578 in. x 47.75 in. x 94.75 in. Oriented Strand Board Forcefield","$23.57","https://www.homedepot.com/p/ForceField-19-32-in-x-4-ft-x-8-ft-Actual-0-578-in-x-47-75-in-x-94-75-in-Oriented-Strand-Board-Forcefield-1366585/318366453"
"15/32 in. x 4 ft. x 8 ft. 3-Ply RTD Sheathing","Limit90perorder$25.00Buy72ormore$22.50","https://www.homedepot.com/p/Plytanium-15-32-in-x-4-ft-x-8-ft-3-Ply-RTD-Sheathing-132411/100067329"
"23/32 in. T&G OSB Subfloor (Common: 23/32 in. x 4 ft. x 8 ft.; Actual: 0.703 in. x 47.875 in. x 95.875 in.)","Limit90perorder$21.48Buy42ormore$19.33","https://www.homedepot.com/p/23-32-in-T-G-OSB-Subfloor-Common-23-32-in-x-4-ft-x-8-ft-Actual-0-703-in-x-47-875-in-x-95-875-in-920924/100054132"
"23/32 in. x 4 ft. x 8 ft Cabinet Grade Plywood Panel (Actual: 0.688 in. x 48 in. x 96 in.)","Limit90perorder$49.88","https://www.homedepot.com/p/23-32-in-x-4-ft-x-8-ft-Cabinet-Grade-Plywood-Panel-Actual-0-688-in-x-48-in-x-96-in-1077486/302610611"
"1/4 in. x 3.5 in. x 8 ft. Cedar Board V-Plank (6 per package)","$26.98/package","https://www.homedepot.com/p/1-4-in-x-3-5-in-x-8-ft-Cedar-Board-V-Plank-6-per-package-8203015/202106509"
"3-3/4 in. x Random Length Aromatic Red Cedar Shiplap Planking (15 sq. ft/pkg)","$37.98/box","https://www.homedepot.com/p/American-Pacific-3-3-4-in-x-Random-Length-Aromatic-Red-Cedar-Shiplap-Planking-15-sq-ft-pkg-HD60-15S/319614105"
"3/4 in. x 4 in. x 8 ft. Cedar Board","$11.98","https://www.homedepot.com/p/3-4-in-x-4-in-x-8-ft-Cedar-Board-0514348/202302514"
"3/4 in. x 5.5 in. x 8 ft. Select Tight Knot S1S2E Cedar Board","$18.27/piece","https://www.homedepot.com/p/3-4-in-x-5-5-in-x-8-ft-Select-Tight-Knot-S1S2E-Cedar-Board-0514368/202089034"
"3/4 in. x 8 in. x 8 ft. Cedar Board","$24.36","https://www.homedepot.com/p/3-4-in-x-8-in-x-8-ft-Cedar-Board-0514388/203005148"
"4 in. x 4 in. x 8 ft. #2-Premium Grade Dimensional Lumber","$13.37","https://www.homedepot.com/p/Sierra-Pacific-Industries-4-in-x-4-in-x-8-ft-2-Premium-Grade-Dimensional-Lumber-769887140918/334176028"
"Red Oak 12MIL 6 in. W x 36 in. L Peel and Stick Water Resistant Vinyl Tile Flooring (54 Sq. Ft. Case)","$1.39/sq.ft.($74.99/case)","https://www.homedepot.com/p/Art3d-Red-Oak-12MIL-6-in-W-x-36-in-L-Peel-and-Stick-Water-Resistant-Vinyl-Tile-Flooring-54-Sq-Ft-Case-A43hd303/327707182"
"2 in. x 4 in. x 8 ft. Premium S4S Stained Western Red Cedar Lumber","$3.55","https://www.homedepot.com/p/2-in-x-4-in-x-8-ft-Premium-S4S-Stained-Western-Red-Cedar-Lumber-278956/300862336"
"2 in. x 6 in. x 8 ft. Rough Green Western Red Cedar Lumber","$25.98","https://www.homedepot.com/p/2-in-x-6-in-x-8-ft-Rough-Green-Western-Red-Cedar-Lumber-819155/202594096"
"1 in. x 4 in. x Random Length S4S Oak Hardwood Board","$4.52/linearfeet","https://www.homedepot.com/p/Weaber-1-in-x-4-in-x-Random-Length-S4S-Oak-Hardwood-Board-22060/207059035"
"1 in. x 4 in. x Random Length S4S Oak Hardwood Board","$4.52/linearfeet","https://www.homedepot.com/p/Weaber-1-in-x-4-in-x-Random-Length-S4S-Oak-Hardwood-Board-22060/207059035"
"Maple Board (Common: 1 in. x 6 in. x Random Length; Actual: 3/4 in. x 5-1/2 in. x Random Length)","$6.37/linearfeet","https://www.homedepot.com/p/Maple-Board-Common-1-in-x-6-in-x-Random-Length-Actual-3-4-in-x-5-1-2-in-x-Random-Length-1041221/207098658"
"1 in. x 2 in. x Random Length S4S Oak Hardwood Board","$2.18/linearfeet","https://www.homedepot.com/p/Weaber-1-in-x-2-in-x-Random-Length-S4S-Oak-Hardwood-Board-22050/207059033"
"1 in. x 6 in. x Random Length S4S Walnut Hardwood Board","$14.87/linearfeet","https://www.homedepot.com/p/Weaber-1-in-x-6-in-x-Random-Length-S4S-Walnut-Hardwood-Board-65265/207059059"
"1 in. x 4 in. x 8 ft. S4S Walnut Board","$76.99","https://www.homedepot.com/p/Builders-Choice-1-in-x-4-in-x-8-ft-S4S-Walnut-Board-W16010408X/206201595"
"Walnut Ember Java 4 MIL x 6 in. W x 36 in. L Peel and Stick Water Resistant Luxury Vinyl Plank Flooring (36 sqft/case)","$1.29/sq.ft.($46.44/case)","https://www.homedepot.com/p/TrafficMaster-Walnut-Ember-Java-4-MIL-x-6-in-W-x-36-in-L-Peel-and-Stick-Water-Resistant-Luxury-Vinyl-Plank-Flooring-36-sqft-case-HP3087C/300827567"
"1 in. x 8 in. x 8 ft. S4S Walnut Board (2-Pack)","$249.00","https://www.homedepot.com/p/Swaner-Hardwood-1-in-x-8-in-x-8-ft-S4S-Walnut-Board-2-Pack-OL04070896WA/309742630"
"1 in. x 2 in. x 2 ft. Walnut S4S Board (10-Pack)","$56.99","https://www.homedepot.com/p/Swaner-Hardwood-1-in-x-2-in-x-2-ft-Walnut-S4S-Board-10-Pack-OL04011624WA/322253929"
"1 in. x 12 in. x 8 ft. African Mahogany S4S Board (2-Pack)","$199.00","https://www.homedepot.com/p/Swaner-Hardwood-1-in-x-12-in-x-8-ft-African-Mahogany-S4S-Board-2-Pack-OL04110896MA/309992470"
"1 in. x 2 in. x 2 ft. FAS African Mahogany S4S Board (5-Pack)","$26.06","https://www.homedepot.com/p/Swaner-Hardwood-1-in-x-2-in-x-2-ft-FAS-African-Mahogany-S4S-Board-5-Pack-OL2321412/207171166"
"1 in. x 2 in. x 8 ft. African Mahogany S4S Board (2-Pack)","$40.06","https://www.homedepot.com/p/Swaner-Hardwood-1-in-x-2-in-x-8-ft-African-Mahogany-S4S-Board-2-Pack-OL04011696MA/309299176"
"1 in. x 6 in. x 2 ft. FAS African Mahogany S4S Board (5-Pack)","$63.79","https://www.homedepot.com/p/Swaner-Hardwood-1-in-x-6-in-x-2-ft-FAS-African-Mahogany-S4S-Board-5-Pack-OL2321920/207171189"
"1 in. x 8 in. x 8 ft. African Mahogany S4S Board (2-Pack)","$149.00","https://www.homedepot.com/p/Swaner-Hardwood-1-in-x-8-in-x-8-ft-African-Mahogany-S4S-Board-2-Pack-OL04070896MA/309991327"
"1 in. x 12 in. x 4 ft. Pine Common Board","$13.62","https://www.homedepot.com/p/1-in-x-12-in-x-4-ft-Pine-Common-Board-458503/100322335"
"1 in. x 4 in. x 8 ft. Barn Wood Natural Pine Trim Board (4-Pack)","$42.10/package","https://www.homedepot.com/p/Edge-1-in-x-4-in-x-8-ft-Barn-Wood-Natural-Pine-Trim-Board-4-Pack-311595/306472147"
"1 in. x 4 in. x 8 ft. Premium Kiln-Dried Square Edge Whitewood Common Board","$8.65","https://www.homedepot.com/p/1-in-x-4-in-x-8-ft-Premium-Kiln-Dried-Square-Edge-Whitewood-Common-Board-914681/100023465"
"6 in. x 18 in. - 22 Gauge Aluminum Sheet Metal","$13.44","https://www.homedepot.com/p/Everbilt-6-in-x-18-in-22-Gauge-Aluminum-Sheet-Metal-2001/332735399"
"2 in. x 8 ft. - 1/8 in. Thick Aluminum Flat Bar","$36.68(38¢/in.)","https://www.homedepot.com/p/Everbilt-2-in-x-8-ft-1-8-in-Thick-Aluminum-Flat-Bar-6223/332734021"
"1-1/2 in. x 8 ft. - 1/16 in. Thick Aluminum Angle","$30.32(32¢/in.)","https://www.homedepot.com/p/Everbilt-1-1-2-in-x-8-ft-1-16-in-Thick-Aluminum-Angle-6437/332733442"
"1 in. x 8 ft. Aluminum Square Tube","$41.47(43¢/in.)","https://www.homedepot.com/p/Everbilt-1-in-x-8-ft-Aluminum-Square-Tube-6619/332735173"
"3/4 in. Wide (Inside) x 8 ft. Aluminum Trim Channel","$15.98(17¢/in.)","https://www.homedepot.com/p/Everbilt-3-4-in-Wide-Inside-x-8-ft-Aluminum-Trim-Channel-6548/332733635"
"12 in. x 24 in. Copper Aluminum Sheet","$29.36","https://www.homedepot.com/p/M-D-Building-Products-12-in-x-24-in-Copper-Aluminum-Sheet-57525/205518999"
"36 in. x 36 in. Copper Aluminum Sheet","$59.92","https://www.homedepot.com/p/M-D-Building-Products-36-in-x-36-in-Copper-Aluminum-Sheet-57526/205519014"
"TUFFAK 0.118-in T x 48-in W x 96-in L Clear Polycarbonate Sheet","212","https://www.lowes.com/pd/PLASKOLITE-0-118-in-T-x-48-in-W-x-96-in-L-Clear-Polycarbonate-Sheet/1000873132"
"POLYGAL 0.236-in T x 48.0-in W x 96.0-in L Clear Polycarbonate Sheet","","https://www.lowes.com/pd/PLASKOLITE-0-236-in-T-x-48-in-W-x-96-in-L-White-Polycarbonate-Sheet/1000864878"
"TUFFAK 0.093-in T x 8-in W x 10-in L Clear Polycarbonate Sheet","7.18","https://www.lowes.com/pd/LEXAN-0-093-in-T-x-8-in-W-x-10-in-L-Clear-Polycarbonate-Sheet/3143465"
"TUFFAK 0.093-in T x 28-in W x 30-in L Clear Polycarbonate Sheet","41.18","https://www.lowes.com/pd/LEXAN-0-093-in-T-x-28-in-W-x-30-in-L-Clear-Polycarbonate-Sheet/3143411"
"LEXAN Polycarbonate 0.118-in T x 24-in W x 48-in L Clear Polycarbonate Sheet","53.85","https://www.lowes.com/pd/LEXAN-Polycarbonate-0-118-in-T-x-24-in-W-x-48-in-L-Clear-Polycarbonate-Sheet/1001579324"
"IMPERIAL 24-in x 36-in Steel Solid Sheet Metal","14.48","https://www.lowes.com/pd/IMPERIAL-24-in-x-3-ft-Galvanized-Steel-Sheet-Metal/3234805"
"Broan Stainless Steel Duct-Free Backsplash plate","59","https://www.lowes.com/pd/Broan-Duct-Free-Universal-Backsplash-Plate-Stainless-Steel/1092009"
"Broan Stainless Steel Duct-Free Backsplash plate","59","https://www.lowes.com/pd/Broan-Duct-Free-Universal-Backsplash-Plate-Stainless-Steel/1092009"
"Hillman 1-in x 6-ft Plain Hot Rolled Steel Weldable Square Tube","44.98","https://www.lowes.com/pd/Hillman-1-in-W-x-6-ft-L-Plain-Hot-Rolled-Steel-Weldable-Square-Tube/3054845"
"Steelworks 3-in x 4-ft Interior/Exterior Plain Hot rolled steel Solid","36.98","https://www.lowes.com/pd/Steelworks-4-ft-x-3-in-Hot-Rolled-Steel-Solid/3053605"
"IMPERIAL 24-in x 36-in Steel Solid Sheet Metal","14.48","https://www.lowes.com/pd/IMPERIAL-24-in-x-3-ft-Galvanized-Steel-Sheet-Metal/3234805"
"Hillman 1/2-in x 3-ft Plain Hot Rolled Steel Round Tube","15.98","https://www.lowes.com/pd/Hillman-1-2-in-dia-x-3-ft-L-Plain-Hot-Rolled-Steel-Weldable-Round-Tube/3059283"
"Hillman 12-in x 24-in Copper-plated aluminum Solid Sheet Metal","21.98","https://www.lowes.com/pd/Hillman-12-in-x-24-in-Copper-Decorative/1000035077"
"Streamline 1/2-in x 10-ft Copper Type M Pipe","24.59","https://www.lowes.com/pd/Mueller-Streamline-1-2-in-x-10-ft-Copper-M-Pipe/1000227967"
"Severe Weather 1-in x 6-in x 8-ft Appearance Southern yellow pine Above ground Pressure Treated Lumber","10.88","https://www.lowes.com/pd/Severe-Weather-Common-1-in-x-6-in-x-8-ft-Actual-0-75-in-x-5-5-in-x-8-ft-2-Treated-Lumber/4564826"
"RELIABILT 7-1/8-in x 8-ft Unfinished Smooth Unfinished Pine Shiplap Wall Plank ( 4.75-sq ft )","","https://www.lowes.com/pd/Common-1-in-x-8-in-x-8-ft-Actual-0-688-in-x-7-125-in-x-8-ft-Tongue-and-Groove-Southern-Yellow-Pine-Board/1000213011"
